Date Local,Average Temperature,Ozone Arithmetic Mean,State Name,City Name,Site Num,Carbon Arithmetic Mean,tmax,tmin,prcp,Year
2001-01-01,27.5,0.0163235,New York,New York,83,0.7528323571428571,32.0,23.0,0.0,2001
2001-01-02,23.0,0.012784166666666666,New York,New York,83,0.9814455000000001,27.0,19.0,0.0,2001
2001-01-03,24.5,0.006239499999999999,New York,New York,83,1.2136904285714285,31.0,18.0,0.0,2001
2001-01-04,29.5,0.004233,New York,New York,83,1.2583474285714285,34.0,25.0,0.0,2001
2001-01-05,28.5,0.003271,New York,New York,83,1.4060515,33.0,24.0,0.19,2001
2001-01-06,35.0,0.0070273333333333325,New York,New York,83,1.2333331538461538,40.0,30.0,0.0,2001
2001-01-07,36.0,0.005137333333333334,New York,New York,83,1.2591269999999999,43.0,29.0,0.0,2001
2001-01-08,37.0,0.0026845000000000003,New York,New York,83,2.0181818333333332,40.0,34.0,0.32,2001
2001-01-09,30.0,0.009392166666666667,New York,New York,83,1.059219142857143,34.0,26.0,0.0,2001
2001-01-10,27.5,0.007388333333333334,New York,New York,83,1.0016386428571429,33.0,22.0,0.0,2001
2001-01-11,38.0,0.0063725000000000006,New York,New York,83,1.2505194285714285,46.0,30.0,0.0,2001
2001-01-12,36.0,0.007156833333333333,New York,New York,83,1.2427978461538463,42.0,30.0,0.0,2001
2001-01-13,35.0,0.0039705,New York,New York,83,1.3690476428571428,40.0,30.0,0.0,2001
2001-01-14,38.5,0.004736166666666666,New York,New York,83,1.6711593571428571,43.0,34.0,0.0,2001
2001-01-15,37.5,0.0016176666666666668,New York,New York,83,1.559226142857143,41.0,34.0,0.28,2001
2001-01-16,40.5,0.0028136666666666666,New York,New York,83,1.3538171538461539,45.0,36.0,0.0,2001
2001-01-17,39.0,0.003905333333333333,New York,New York,83,1.1983973846153846,42.0,36.0,0.0,2001
2001-01-18,34.5,0.005965166666666667,New York,New York,83,1.1170888571428572,37.0,32.0,0.03,2001
2001-01-19,37.0,0.002404833333333333,New York,New York,83,1.1887716428571429,39.0,35.0,0.83,2001
