Date Local,Average Temperature,Ozone Arithmetic Mean,State Name,City Name,Site Num,Carbon Arithmetic Mean,tmax,tmin,prcp,Year
2001-04-30,61.5,0.0185,Utah,Salt Lake City,3006,0.574053,78.0,45.0,0.0,2001
2001-05-01,57.0,0.041765,Utah,Salt Lake City,3006,0.44375,69.0,45.0,0.0,2001
2001-05-02,44.5,0.046235,Utah,Salt Lake City,3006,0.333333,56.0,33.0,0.0,2001
2001-05-03,49.5,0.046588,Utah,Salt Lake City,3006,0.2083335,57.0,42.0,0.0,2001
2001-05-04,49.0,0.030529,Utah,Salt Lake City,3006,0.58125,62.0,36.0,0.0,2001
2001-05-05,53.0,0.025765,Utah,Salt Lake City,3006,0.75625,67.0,39.0,0.0,2001
2001-05-06,52.0,0.042412,Utah,Salt Lake City,3006,0.64529,64.0,40.0,0.0,2001
2001-05-07,54.5,0.032941,Utah,Salt Lake City,3006,0.7414775,69.0,40.0,0.0,2001
2001-05-08,61.5,0.025059,Utah,Salt Lake City,3006,0.9104165,79.0,44.0,0.0,2001
2001-05-09,68.5,0.030118,Utah,Salt Lake City,3006,0.83125,83.0,54.0,0.0,2001
2001-05-10,63.0,0.043941,Utah,Salt Lake City,3006,0.625,76.0,50.0,0.0,2001
2001-05-11,64.0,0.040235,Utah,Salt Lake City,3006,0.8375,84.0,44.0,0.0,2001
2001-05-12,73.0,0.035294,Utah,Salt Lake City,3006,0.8458335,90.0,56.0,0.0,2001
2001-05-13,69.5,0.041176,Utah,Salt Lake City,3006,0.579167,79.0,60.0,0.0,2001
2001-05-14,69.0,0.034824,Utah,Salt Lake City,3006,0.5301629999999999,83.0,55.0,0.0,2001
2001-05-15,72.5,0.019176,Utah,Salt Lake City,3006,0.575,83.0,62.0,0.05,2001
2001-05-16,66.0,0.027882,Utah,Salt Lake City,3006,0.4791665,75.0,57.0,0.17,2001
2001-05-17,66.0,0.039412,Utah,Salt Lake City,3006,0.46041699999999997,75.0,57.0,0.0,2001
2001-05-18,66.5,0.037824,Utah,Salt Lake City,3006,0.520833,74.0,59.0,0.0,2001
2001-05-19,63.5,0.041941,Utah,Salt Lake City,3006,0.479167,76.0,51.0,0.0,2001
2001-05-20,61.5,0.046882,Utah,Salt Lake City,3006,0.32916650000000003,74.0,49.0,0.0,2001
2001-05-21,52.5,0.046118,Utah,Salt Lake City,3006,0.29583349999999997,66.0,39.0,0.0,2001
2001-05-22,61.0,0.034059,Utah,Salt Lake City,3006,0.49583350000000004,77.0,45.0,0.0,2001
2001-05-23,68.0,0.033412,Utah,Salt Lake City,3006,0.6107955,86.0,50.0,0.0,2001
2001-05-24,71.0,0.034529,Utah,Salt Lake City,3006,0.6395835,90.0,52.0,0.0,2001
2001-05-25,76.5,0.029706,Utah,Salt Lake City,3006,0.652083,92.0,61.0,0.0,2001
2001-05-26,77.0,0.052765,Utah,Salt Lake City,3006,0.45625000000000004,90.0,64.0,0.0,2001
2001-05-27,72.0,0.052882,Utah,Salt Lake City,3006,0.229167,88.0,56.0,0.0,2001
2001-05-28,73.5,0.043294,Utah,Salt Lake City,3006,0.24375,82.0,65.0,0.0,2001
2001-05-29,69.5,0.033412,Utah,Salt Lake City,3006,0.397826,80.0,59.0,0.0,2001
2001-05-30,61.5,0.044529,Utah,Salt Lake City,3006,0.3666665,74.0,49.0,0.0,2001
2001-05-31,64.5,0.031,Utah,Salt Lake City,3006,0.46875,79.0,50.0,0.0,2001
2001-06-01,73.5,0.037,Utah,Salt Lake City,3006,0.51875,92.0,55.0,0.0,2001
2001-06-02,71.5,0.040529,Utah,Salt Lake City,3006,0.35,82.0,61.0,0.0,2001
2001-06-03,59.5,0.043941,Utah,Salt Lake City,3006,0.2125,67.0,52.0,0.0,2001
2001-06-04,52.5,0.033471,Utah,Salt Lake City,3006,0.231884,62.0,43.0,0.0,2001
2001-06-05,60.5,0.026706,Utah,Salt Lake City,3006,0.4833335,75.0,46.0,0.0,2001
2001-06-06,62.5,0.028529,Utah,Salt Lake City,3006,0.4895835,75.0,50.0,0.0,2001
2001-06-07,68.5,0.035059,Utah,Salt Lake City,3006,0.516667,86.0,51.0,0.0,2001
2001-06-08,77.0,0.039294,Utah,Salt Lake City,3006,0.44791650000000005,95.0,59.0,0.0,2001
2001-06-09,77.5,0.036118,Utah,Salt Lake City,3006,0.2020835,89.0,66.0,0.0,2001
2001-06-10,76.0,0.043,Utah,Salt Lake City,3006,0.18541649999999998,92.0,60.0,0.0,2001
2001-06-11,72.0,0.039706,Utah,Salt Lake City,3006,0.21875,84.0,60.0,0.0,2001
2001-06-12,53.0,0.021353,Utah,Salt Lake City,3006,0.1722225,68.0,38.0,0.66,2001
2001-06-13,46.0,0.023765,Utah,Salt Lake City,3006,0.593116,55.0,37.0,0.45,2001
2001-06-14,56.5,0.033647,Utah,Salt Lake City,3006,0.5020835,70.0,43.0,0.0,2001
2001-06-15,68.5,0.030882,Utah,Salt Lake City,3006,0.7104165,81.0,56.0,0.0,2001
2001-06-16,71.5,0.042824,Utah,Salt Lake City,3006,0.8270835,90.0,53.0,0.0,2001
2001-06-17,77.5,0.043176,Utah,Salt Lake City,3006,0.6395835000000001,92.0,63.0,0.0,2001
2001-06-18,66.0,0.034529,Utah,Salt Lake City,3006,0.6729164999999999,78.0,54.0,0.0,2001
2001-06-19,68.5,0.032235,Utah,Salt Lake City,3006,0.7617750000000001,84.0,53.0,0.0,2001
2001-06-20,72.0,0.032941,Utah,Salt Lake City,3006,0.8520835,88.0,56.0,0.0,2001
2001-06-21,75.5,0.035706,Utah,Salt Lake City,3006,0.75,93.0,58.0,0.0,2001
2001-06-22,80.5,0.051,Utah,Salt Lake City,3006,0.7166665000000001,98.0,63.0,0.0,2001
2001-06-23,86.5,0.049529,Utah,Salt Lake City,3006,0.48124999999999996,95.0,78.0,0.0,2001
2001-06-24,83.0,0.047529,Utah,Salt Lake City,3006,0.32916650000000003,96.0,70.0,0.01,2001
2001-06-25,76.0,0.042059,Utah,Salt Lake City,3006,0.49800750000000005,89.0,63.0,0.0,2001
2001-06-26,74.5,0.026471,Utah,Salt Lake City,3006,0.45416650000000003,81.0,68.0,0.0,2001
2001-06-27,79.5,0.024882,Utah,Salt Lake City,3006,0.27708350000000004,92.0,67.0,0.0,2001
2001-06-28,79.0,0.048294,Utah,Salt Lake City,3006,0.345833,92.0,66.0,0.0,2001
2001-06-29,79.5,0.044294,Utah,Salt Lake City,3006,0.483333,96.0,63.0,0.0,2001
2001-06-30,83.0,0.044706,Utah,Salt Lake City,3006,0.34375,101.0,65.0,0.0,2001
2001-07-01,82.5,0.049471,Utah,Salt Lake City,3006,0.329167,100.0,65.0,0.0,2001
2001-07-02,85.0,0.054353,Utah,Salt Lake City,3006,0.48750000000000004,100.0,70.0,0.0,2001
2001-07-03,86.0,0.046353,Utah,Salt Lake City,3006,0.530303,103.0,69.0,0.0,2001
2001-07-04,87.5,0.039118,Utah,Salt Lake City,3006,0.3375,104.0,71.0,0.0,2001
2001-07-05,86.5,0.045471,Utah,Salt Lake City,3006,0.40625,98.0,75.0,0.0,2001
2001-07-06,79.0,0.037059,Utah,Salt Lake City,3006,0.29791650000000003,92.0,66.0,0.06,2001
2001-07-07,76.5,0.039353,Utah,Salt Lake City,3006,0.225,86.0,67.0,0.0,2001
2001-07-08,78.5,0.035353,Utah,Salt Lake City,3006,0.0729165,87.0,70.0,0.0,2001
2001-07-09,75.0,0.030941,Utah,Salt Lake City,3006,0.1979165,86.0,64.0,0.66,2001
2001-07-10,74.0,0.023353,Utah,Salt Lake City,3006,0.216667,85.0,63.0,0.01,2001
2001-07-11,76.5,0.045529,Utah,Salt Lake City,3006,0.2660325,90.0,63.0,0.37,2001
2001-07-12,77.0,0.046294,Utah,Salt Lake City,3006,0.45416650000000003,91.0,63.0,0.0,2001
2001-07-13,82.0,0.047353,Utah,Salt Lake City,3006,0.40625,95.0,69.0,0.0,2001
2001-07-14,79.5,0.041765,Utah,Salt Lake City,3006,0.2791665,91.0,68.0,0.0,2001
2001-07-15,76.5,0.038588,Utah,Salt Lake City,3006,0.3166665,90.0,63.0,0.03,2001
2001-07-16,78.0,0.045,Utah,Salt Lake City,3006,0.3696555,92.0,64.0,0.0,2001
2001-07-17,80.0,0.042176,Utah,Salt Lake City,3006,0.34791649999999996,91.0,69.0,0.0,2001
2001-07-18,78.0,0.029353,Utah,Salt Lake City,3006,0.4291665,89.0,67.0,0.0,2001
2001-07-19,78.0,0.030706,Utah,Salt Lake City,3006,0.42083349999999997,93.0,63.0,0.0,2001
2001-07-20,80.5,0.030824,Utah,Salt Lake City,3006,0.439583,95.0,66.0,0.0,2001
2001-07-21,81.0,0.030176,Utah,Salt Lake City,3006,0.35625,95.0,67.0,0.0,2001
2001-07-22,75.5,0.045765,Utah,Salt Lake City,3006,0.3250905,89.0,62.0,0.0,2001
2001-07-23,75.5,0.042176,Utah,Salt Lake City,3006,0.53125,90.0,61.0,0.0,2001
2001-07-24,76.0,0.043824,Utah,Salt Lake City,3006,0.5270835,92.0,60.0,0.0,2001
2001-07-25,79.5,0.036706,Utah,Salt Lake City,3006,0.60154,95.0,64.0,0.0,2001
2001-07-26,81.0,0.041882,Utah,Salt Lake City,3006,0.33125,89.0,73.0,0.0,2001
2001-07-27,82.5,0.040412,Utah,Salt Lake City,3006,0.30625,96.0,69.0,0.0,2001
2001-07-28,85.0,0.029588,Utah,Salt Lake City,3006,0.4666665,101.0,69.0,0.0,2001
2001-07-29,79.0,0.050941,Utah,Salt Lake City,3006,0.5145835,95.0,63.0,0.0,2001
2001-07-30,79.0,0.043706,Utah,Salt Lake City,3006,0.37083350000000004,92.0,66.0,0.0,2001
2001-07-31,69.5,0.028588,Utah,Salt Lake City,3006,0.45,80.0,59.0,0.0,2001
2001-08-01,76.5,0.042529,Utah,Salt Lake City,3006,0.5824275,92.0,61.0,0.0,2001
2001-08-02,83.5,0.038588,Utah,Salt Lake City,3006,0.5333330000000001,98.0,69.0,0.0,2001
2001-08-03,79.0,0.034412,Utah,Salt Lake City,3006,0.3833335,91.0,67.0,0.08,2001
2001-08-04,83.0,0.033059,Utah,Salt Lake City,3006,0.347917,97.0,69.0,0.0,2001
2001-08-05,79.5,0.049941,Utah,Salt Lake City,3006,0.4,96.0,63.0,0.0,2001
2001-08-06,79.5,0.033412,Utah,Salt Lake City,3006,0.8749095,96.0,63.0,0.0,2001
2001-08-07,86.5,0.052706,Utah,Salt Lake City,3006,0.6854169999999999,98.0,75.0,0.0,2001
2001-08-08,86.0,0.041765,Utah,Salt Lake City,3006,0.6145835,97.0,75.0,0.0,2001
2001-08-09,83.5,0.038813,Utah,Salt Lake City,3006,0.466667,93.0,74.0,0.0,2001
2001-08-10,79.5,0.037118,Utah,Salt Lake City,3006,0.5604165000000001,90.0,69.0,0.0,2001
2001-08-11,79.5,0.051588,Utah,Salt Lake City,3006,0.46458350000000004,94.0,65.0,0.0,2001
2001-08-12,80.0,0.055059,Utah,Salt Lake City,3006,0.46875,95.0,65.0,0.0,2001
2001-08-13,79.5,0.039353,Utah,Salt Lake City,3006,0.5342800000000001,87.0,72.0,0.0,2001
2001-08-14,77.5,0.043824,Utah,Salt Lake City,3006,0.547917,88.0,67.0,0.0,2001
2001-08-15,79.5,0.049765,Utah,Salt Lake City,3006,0.5375,92.0,67.0,0.0,2001
2001-08-16,77.5,0.049235,Utah,Salt Lake City,3006,0.652083,92.0,63.0,0.0,2001
2001-08-17,81.0,0.049118,Utah,Salt Lake City,3006,0.691667,96.0,66.0,0.0,2001
2001-08-18,85.0,0.035765,Utah,Salt Lake City,3006,0.6354165,97.0,73.0,0.0,2001
2001-08-19,80.5,0.046706,Utah,Salt Lake City,3006,0.4458335,94.0,67.0,0.0,2001
2001-08-20,75.0,0.037765,Utah,Salt Lake City,3006,0.34375,89.0,61.0,0.41,2001
2001-08-21,71.0,0.032235,Utah,Salt Lake City,3006,0.503409,82.0,60.0,0.04,2001
2001-08-22,71.0,0.031235,Utah,Salt Lake City,3006,0.3666665,85.0,57.0,0.0,2001
2001-08-23,79.0,0.030941,Utah,Salt Lake City,3006,0.44375,93.0,65.0,0.0,2001
2001-08-24,75.5,0.029471,Utah,Salt Lake City,3006,0.5708335,90.0,61.0,0.0,2001
2001-08-25,73.5,0.038941,Utah,Salt Lake City,3006,0.5333335,91.0,56.0,0.0,2001
2001-08-26,79.5,0.041882,Utah,Salt Lake City,3006,0.30000000000000004,97.0,62.0,0.0,2001
2001-08-27,80.5,0.049833,Utah,Salt Lake City,3006,0.568182,96.0,65.0,0.0,2001
2001-08-30,77.5,0.028273,Utah,Salt Lake City,3006,0.4604165,85.0,70.0,0.0,2001
2001-08-31,76.0,0.039588,Utah,Salt Lake City,3006,0.4535325,88.0,64.0,0.0,2001
2001-09-01,77.5,0.043294,Utah,Salt Lake City,3006,0.5791665,91.0,64.0,0.0,2001
2001-09-02,80.0,0.041588,Utah,Salt Lake City,3006,0.4469205,93.0,67.0,0.0,2001
2001-09-03,79.0,0.039588,Utah,Salt Lake City,3006,0.49583350000000004,93.0,65.0,0.0,2001
2001-09-04,78.0,0.027941,Utah,Salt Lake City,3006,0.7645835000000001,91.0,65.0,0.0,2001
2001-09-05,77.0,0.029353,Utah,Salt Lake City,3006,0.495199,88.0,66.0,0.01,2001
2001-09-06,59.5,0.017765,Utah,Salt Lake City,3006,0.3625,72.0,47.0,0.0,2001
2001-09-07,60.0,0.033765,Utah,Salt Lake City,3006,0.5854170000000001,75.0,45.0,0.0,2001
2001-09-08,53.5,0.024588,Utah,Salt Lake City,3006,0.345833,64.0,43.0,0.0,2001
2001-09-09,58.5,0.024059,Utah,Salt Lake City,3006,0.5020830000000001,75.0,42.0,0.0,2001
2001-09-10,68.5,0.023882,Utah,Salt Lake City,3006,0.7562500000000001,88.0,49.0,0.0,2001
2001-09-11,75.0,0.025353,Utah,Salt Lake City,3006,0.6875,90.0,60.0,0.0,2001
2001-09-12,73.0,0.028941,Utah,Salt Lake City,3006,0.59375,87.0,59.0,0.01,2001
2001-09-13,71.5,0.021118,Utah,Salt Lake City,3006,0.6354165,84.0,59.0,0.01,2001
2001-09-14,67.5,0.029176,Utah,Salt Lake City,3006,0.662311,80.0,55.0,0.0,2001
2001-09-15,68.0,0.030059,Utah,Salt Lake City,3006,0.649366,83.0,53.0,0.0,2001
