Date Local,Average Temperature,Ozone Arithmetic Mean,State Name,City Name,Site Num,Carbon Arithmetic Mean,tmax,tmin,prcp,Year
2001-01-01,30.0,0.016686333333333334,District Of Columbia,Washington,25,1.238158,37.0,23.0,0.0,2001
2001-01-02,28.0,0.015646999999999998,District Of Columbia,Washington,25,1.4399005,33.0,23.0,0.0,2001
2001-01-03,27.5,0.006647,District Of Columbia,Washington,25,1.4130435,35.0,20.0,0.0,2001
2001-01-04,30.5,0.005019666666666666,District Of Columbia,Washington,25,1.33251825,38.0,23.0,0.0,2001
2001-01-05,27.5,0.002588,District Of Columbia,Washington,25,1.0270835,33.0,22.0,0.05000000000000001,2001
2001-01-06,35.0,0.006313666666666666,District Of Columbia,Washington,25,1.1177085,42.0,28.0,0.0,2001
2001-01-07,34.0,0.002,District Of Columbia,Washington,25,2.059722,42.0,26.0,0.0,2001
2001-01-08,33.5,0.0031373333333333336,District Of Columbia,Washington,25,1.91440225,37.0,30.0,0.20000000000000004,2001
2001-01-09,31.0,0.015156999999999999,District Of Columbia,Washington,25,0.95520825,34.0,28.0,0.0,2001
2001-01-10,39.0,0.006588,District Of Columbia,Washington,25,1.37694775,49.0,29.0,0.0,2001
2001-01-11,42.0,0.009216,District Of Columbia,Washington,25,2.34024625,59.0,25.0,0.0,2001
2001-01-12,36.5,0.0030193333333333335,District Of Columbia,Washington,25,2.0593747500000004,45.0,28.0,0.0,2001
2001-01-13,35.0,0.003294333333333333,District Of Columbia,Washington,25,2.6760415,47.0,23.0,0.0,2001
2001-01-14,38.0,0.0025486666666666665,District Of Columbia,Washington,25,2.2895835,48.0,28.0,0.01,2001
2001-01-15,40.0,0.0014903333333333333,District Of Columbia,Washington,25,1.8145835000000001,43.0,37.0,0.01,2001
2001-01-16,41.5,0.008039333333333334,District Of Columbia,Washington,25,1.48418575,49.0,34.0,0.0,2001
2001-01-17,39.0,0.004157,District Of Columbia,Washington,25,1.0385415,45.0,33.0,0.0,2001
2001-01-18,37.0,0.0020196666666666666,District Of Columbia,Washington,25,1.16965575,40.0,34.0,0.01,2001
2001-01-19,38.5,0.0017253333333333333,District Of Columbia,Washington,25,1.4302080000000001,41.0,36.0,1.02,2001
2001-01-20,36.0,0.0035883333333333336,District Of Columbia,Washington,25,1.0218749999999999,39.0,33.0,0.33,2001
2001-01-21,28.5,0.012804000000000001,District Of Columbia,Washington,25,0.89270825,33.0,24.0,0.06,2001
2001-01-22,28.5,0.00751,District Of Columbia,Washington,25,1.4245925,36.0,21.0,0.0,2001
2001-01-23,32.0,0.005431333333333333,District Of Columbia,Washington,25,2.09325175,43.0,21.0,0.0,2001
2001-01-24,37.0,0.007019666666666667,District Of Columbia,Washington,25,1.99479175,47.0,27.0,0.0,2001
